Pobreza e Indigencia,,,,,,,,,,,,,,,,,,,,,,,,,
,,II- Semestre 2016 ,,,,I- Semestre 2017,,,,II- Semestre 2017,,,,I- Semestre 2018,,,,II- Semestre 2018,,,,I- Semestre 2019,,,
,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,
Provincia,Aglomerado,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas
Mendoza,Gran Mendoza,"24,6443241478741%","33,4941662862342%","2,91307363782269%","3,72111074166692%","21,4876742724266%","31,499751254116%","3,16858957405226%","4,53292766981035%","18,8756615493716%","26,4221665741361%","3,24569582518024%","4,17003262100716%","19,447950373941%","27,853509449127%","2,84282395907461%","3,7869478315126%","21,8625369550983%","30,7334698225675%","3,22526240600012%","4,17823541126426%","27,3311907149037%","37,5578202077194%","5,14353357133264%","6,55633874958629%"
Misiones ,Posadas,"17,9745041222223%","28,0031482912903%","3,2906009742619%","5,3241668030174%","21,4126507648338%","29,6638544798388%","3,199539841461%","4,17541097061073%","20,4786217915321%","28,5912829382553%","2,1013511166684%","2,96148372200544%","20,6819872907811%","28,4665980704549%","3,214936325616%","3,61347141086918%","26,5057500315936%","35,6610775151182%","3,52500105311934%","5,14540956569544%","28,6364329655804%","39,790149822758%","4,85705085837274%","8,33583675163724%"
Neuquen ,Neuquen - Plottier,"23,549976791728%","34,4805898418406%","3,39828357545651%","3,57371143006566%","20,3640618366692%","27,3102755463243%","2,92823343031985%","3,52552680968332%","15,3781023982699%","21,3747690398802%","1,33939956543472%","2,14472601723603%","19,2887407098701%","25,7730059911523%","2,24848430724655%","2,53677911100544%","21,0105362571201%","27,0689821482622%","2,37090379639741%","2,41216326340543%","20,460575764985%","26,348516186159%","3,07261810970143%","3,59703435470122%"
Rio Negro ,Viedma – Carmen  de Patagones,"26,3353041386913%","38,4485052478366%","5,56167952700671%","8,73085364050898%","24,1848750935947%","33,9549383271811%","4,18283302702335%","6,47226973980373%","19,3446187296164%","29,4805252913935%","2,36993321944401%","3,1622631378778%","17,1525445211991%","24,4246531282233%","1,26433867798973%","1,64258065947229%","20,100413467218%","29,7118517214053%","3,01240401653869%","3,44281060139121%","23,1124466234382%","36,1601725765134%","2,16985608097422%","3,44049909912118%"
Salta ,Salta,"25,8353388929311%","33,2246231793108%","5,45698774276599%","6,69506307659619%","19,2578863430644%","27,3867817070137%","4,01783240250984%","5,33621807041202%","19,782227072164%","24,8068469915941%","3,04775347535228%","3,49228445002415%","19,8794199120091%","26,3747915023468%","3,18559556786704%","3,75651353133607%","29,3143949425976%","37,7372670687761%","4,74707230289142%","5,94058928949955%","32,1205269593706%","41,8235556030775%","6,26456405878689%","7,73526158972632%"
San Juan ,Gran San Juan,"32,1550372334067%","43,4851694915254%","4,50527736954244%","5,79617681047766%","18,7168668181326%","26,376115182054%","2,33893216488153%","3,77489250114339%","19,8905780040013%","27,1602089950615%","3,13159219891939%","3,7751572733583%","17,7006230005051%","25,3707253701313%","2,10742549250716%","3,25374884148322%","22,1951602229545%","33,0593304868577%","3,13555332692032%","4,52498945384728%","20,0537685422399%","30,3129240402889%","3,87576303887149%","6,34284064294652%"
San Luis ,San Luis - Chorrillo,"18,0664903889004%","27,2916619807013%","2,188122047595%","3,15301738680582%","17,6411882118117%","26,2671967942454%","1,2489726429494%","1,96343547660165%","16,5480785850089%","23,8087861701468%","1,48931266924008%","1,97746364175511%","12,1823994615514%","17,9207046910609%","0,963318189466599%","2,0067535820771%","22,5283415068511%","31,2787744950716%","1,40743989474104%","2,19524624652093%","25,0491376505044%","34,4732988002713%","1,91083631630329%","2,38952084296385%"
Santa Cruz,Rio Gallegos,"9,56383912145142%","13,3923767013929%","2,24731821912768%","2,82190838280568%","7,57072411108227%","9,60156304514688%","1,35997923695821%","0,82862326425232%","12,3454862466495%","18,4926480111208%","2,21458870065319%","3,13247394641639%","14,8075619492355%","18,4425002779417%","2,49303306469835%","2,4287827864296%","15,3022780009481%","18,6063431099681%","2,36033833179471%","2,93891224715964%","18,0779755479125%","22,6550199323306%","3,20086360555318%","4,00489095842685%"
Santa Fe,Santa Fe Promedio,"19,3483747781315%","27,4705534572899%","3,46539011246673%","4,45222544904699%","18,7959055789452%","26,4694924483421%","4,46062397130636%","5,96648214651826%","15,5796983595182%","21,6927003382611%","3,38644646942471%","4,20505903229545%","18,6120801191002%","26,4251645610083%","3,76684279118319%","4,59895061910845%","23,3737829829265%","32,5575979563388%","4,15472911209134%","5,3279064034573%","25,7098598951634%","36,2972495052109%","4,17179554559746%","5,74129241845082%"
Santiago del Estero ,Sgo del Estero - La Banda,"34,3980343980344%","43,9713214497139%","6,73547563311343%","8,79300138130632%","36,3075537102681%","45,3534480500773%","10,7782847966158%","13,0782326287944%","28,0460200168366%","38,2971456580004%","4,54494434571135%","6,19075180677659%","34,5647434965848%","44,6940295989014%","5,843142954028%","7,02253535020521%","27,9548992873236%","38,9010648196009%","5,54959241101216%","7,32916365140081%","34,5269544924154%","44,8459321101056%","2,37852975495916%","3,2532563978196%"
Tierra del Fuego,Usuhaia – Rio Grande,"6,80679154677287%","9,67887683301994%","2,28862168187968%","2,13683448170468%","8,2231722453161%","10,8185216763954%","2,41927539943655%","3,04584508427887%","8,16783432729238%","11,4357845675816%","1,64437496381217%","1,99443293630243%","9,09905035541708%","10,4319123893352%","2,29108752028956%","2,11414461900619%","11,8620796348939%","17,9311042157749%","3,14439867726402%","4,25622002161288%","18,1038441052767%","23,9654419562098%","3,09107939831396%","3,85066433784542%"
Tucuman ,Tucuman – Tafi Viejo,"21,2036213725649%","27,7352666469235%","3,12100881092879%","3,99480602319065%","18,4042575135626%","24,3158965370845%","2,34245755894305%","2,9266664699058%","16,4855431721731%","21,7803133145091%","2,6109546662436%","3,0604049015349%","17,9493994256065%","24,2136347287227%","2,10597718293321%","1,93348269302974%","24,9706837542285%","32,1628569630835%","3,22697333116029%","3,6864837170003%","30,3020068896191%","40,3752899245077%","4,12781157249397%","6,00949698657616%"
Total Provincias,Total Aglomerados,"21,4801004695566%","30,3096732821418%","4,52002573715424%","6,06854068386446%","20,3849984707783%","28,5516959306792%","4,51262487515867%","6,21041974499687%","17,8701124274519%","25,6576337792124%","3,50912883755157%","4,79736552550778%","19,5600884383936%","27,3351216808635%","3,78610226456921%","4,89624227432461%","23,3647855623507%","32,0203654097097%","4,82854462870353%","6,69300704523282%","25,391266022293%","35,3966645724721%","5,45386307126197%","7,66723319596138%"
